2025.09.22 21:29:25 INFO  no build target found for /home/leo/sergeyg/build.sbt. Using presentation compiler with project's scala-library version: 3.3.6
2025.09.22 21:29:25 WARN  no build target for: /home/leo/sergeyg/build.sbt
2025.09.22 21:29:58 INFO  no build target found for /home/leo/sergeyg/build.sbt. Using presentation compiler with project's scala-library version: 3.3.6
2025.09.22 21:29:58 INFO  no build target found for /home/leo/sergeyg/build.sbt. Using presentation compiler with project's scala-library version: 3.3.6
2025.09.22 21:29:58 WARN  no build target for: /home/leo/sergeyg/build.sbt
2025.09.22 21:30:26 INFO  no build target found for /home/leo/sergeyg/build.sbt. Using presentation compiler with project's scala-library version: 3.3.6
2025.09.22 21:30:26 INFO  no build target found for /home/leo/sergeyg/build.sbt. Using presentation compiler with project's scala-library version: 3.3.6
2025.09.22 21:30:26 WARN  no build target for: /home/leo/sergeyg/build.sbt
2025.09.22 21:31:18 INFO  no build target found for /home/leo/sergeyg/modules/common/src/main/scala/common/Config.scala. Using presentation compiler with project's scala-library version: 3.3.6
2025.09.22 21:31:18 INFO  no build target found for /home/leo/sergeyg/modules/common/src/main/scala/common/Config.scala. Using presentation compiler with project's scala-library version: 3.3.6
2025.09.22 21:31:18 WARN  no build target for: /home/leo/sergeyg/modules/common/src/main/scala/common/Config.scala
2025.09.22 21:31:48 INFO  no build target found for /home/leo/sergeyg/modules/common/src/main/scala/common/Config.scala. Using presentation compiler with project's scala-library version: 3.3.6
2025.09.22 21:31:48 WARN  no build target for: /home/leo/sergeyg/modules/common/src/main/scala/common/Config.scala
2025.09.22 21:31:48 INFO  no build target found for /home/leo/sergeyg/modules/common/src/main/scala/common/Config.scala. Using presentation compiler with project's scala-library version: 3.3.6
2025.09.22 21:32:40 INFO  no build target found for /home/leo/sergeyg/modules/common/src/main/scala/common/Config.scala. Using presentation compiler with project's scala-library version: 3.3.6
2025.09.22 21:32:40 INFO  no build target found for /home/leo/sergeyg/modules/common/src/main/scala/common/Config.scala. Using presentation compiler with project's scala-library version: 3.3.6
2025.09.22 21:32:40 WARN  no build target for: /home/leo/sergeyg/modules/common/src/main/scala/common/Config.scala
2025.09.22 21:33:15 INFO  no build target found for /home/leo/sergeyg/modules/users-api/src/main/scala/usersapi/HttpServer.scala. Using presentation compiler with project's scala-library version: 3.3.6
